Channel,Elevation,Azimuth
1,14.455,3.383
2,13.562,3.375
3,13.109,1.166
4,12.608,3.373
5,12.184,1.17
6,11.727,3.374
7,11.252,1.174
8,10.779,3.371
9,10.286,1.174
10,9.833,3.369
11,9.35,1.175
12,8.877,3.37
13,8.404,1.17
14,7.899,3.373
15,7.413,1.167
16,6.951,-1.078
17,6.457,1.161
18,5.969,-1.063
19,5.456,-3.238
20,4.996,-1.064
21,4.466,-3.246
22,3.983,-1.065
23,3.474,-3.245
24,3.014,-1.069
25,2.497,-3.241
26,1.988,-1.065
27,1.879,7.823
28,1.763,5.597
29,1.64,3.386
30,1.477,-3.25
31,1.395,1.168
32,1.265,-5.417
33,1.113,-7.631
34,1.005,-1.063
35,0.857,7.805
36,0.753,5.592
37,0.621,3.391
38,0.497,-3.255
39,0.374,1.166
40,0.257,-5.439
41,0.126,-7.649
42,-0.005,-1.064
43,-0.149,7.814
44,-0.264,5.598
45,-0.366,3.386
46,-0.493,-3.254
47,-0.647,1.172
48,-0.766,-5.437
49,-0.865,-7.65
50,-1.01,-1.063
51,-1.143,7.844
52,-1.262,5.602
53,-1.379,3.406
54,-1.493,-3.253
55,-1.654,1.17
56,-1.757,-5.448
57,-1.894,-7.661
58,-2.031,-1.06
59,-2.174,7.859
60,-2.276,5.613
61,-2.419,3.414
62,-2.543,-3.256
63,-2.681,1.178
64,-2.776,-5.447
65,-2.898,-7.674
66,-3.041,-1.061
67,-3.172,7.881
68,-3.301,5.625
69,-3.427,3.412
70,-3.543,-3.263
71,-3.681,1.177
72,-3.778,-5.46
73,-3.914,-7.683
74,-4.087,-1.058
75,-4.173,7.886
76,-4.313,5.628
77,-4.462,3.428
78,-4.59,-3.276
79,-4.718,1.178
80,-4.807,-5.467
81,-4.925,-7.693
82,-5.085,-1.067
83,-5.196,7.894
84,-5.33,5.641
85,-5.469,3.434
86,-5.579,-3.272
87,-5.731,1.179
88,-5.827,-5.472
89,-5.94,-7.706
90,-6.113,-1.068
91,-6.601,-3.272
92,-7.151,-1.071
93,-7.62,-3.287
94,-8.163,-1.07
95,-8.648,-3.29
96,-9.172,3.464
97,-9.66,-3.296
98,-10.174,3.476
99,-10.7,1.194
100,-11.172,3.478
101,-11.699,1.196
102,-12.192,3.493
103,-12.694,1.201
104,-13.174,3.496
105,-13.685,1.217
106,-14.174,3.516
107,-14.682,1.213
108,-15.154,3.518
109,-15.672,1.231
110,-16.134,3.532
111,-16.62,1.229
112,-17.152,-1.045
113,-17.595,1.23
114,-18.115,-1.037
115,-18.53,-3.337
116,-19.072,-1.04
117,-19.505,-3.325
118,-20.037,-1.06
119,-20.447,-3.328
120,-20.963,-1.041
121,-21.379,-3.329
122,-21.888,-1.028
123,-22.307,-3.327
124,-22.812,-1.031
125,-23.225,-3.324
126,-23.724,-1.054
127,-24.135,-3.327
128,-25.012,-3.322
